Frame,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23,M30,M31,M32,M33
14.0,-0.11861120454771262,0.020639725710079625,-0.99272623813333,0.0,0.8247223091219618,0.5588184697484356,-0.08691967961604713,0.0,0.5529597589267053,-0.829033123337439,-0.08330417406763223,0.0,-0.8528546094894409,0.47896480560302734,0.7148444056510925,1.0
15.0,-0.11975935365792345,0.019856637669065674,-0.9926043578142885,0.0,0.8209440788074144,0.5642240627869552,-0.08776118984624169,0.0,0.5583086213578314,-0.8253828935183123,-0.08387229819705706,0.0,-0.827646017074585,0.47598353028297424,0.7158240675926208,1.0
16.0,-0.1205885856636958,0.019284396500261182,-0.9925152417264181,0.0,0.8181823015719083,0.5681273304357047,-0.08836887351604314,0.0,0.5621708943036132,-0.8227146822949134,-0.08428782316714173,0.0,-0.7993118762969971,0.473760724067688,0.7165603637695312,1.0
17.0,-0.12105141958641258,0.018961842542242893,-0.9924651139176217,0.0,0.8166258937352614,0.5703095993104711,-0.08870800761721197,0.0,0.5643303141753061,-0.8212109409047916,-0.08452151821321705,0.0,-0.7681717276573181,0.4727103114128113,0.7170084714889526,1.0
18.0,-0.12108657937813715,0.018937167975868415,-0.9924612959524194,0.0,0.8165075487504638,0.5704749988290931,-0.08873386357223079,0.0,0.5644939885667616,-0.8210966200027862,-0.08453920683321378,0.0,-0.7345772385597229,0.4733074903488159,0.717110812664032,1.0
19.0,-0.12060639221407576,0.019272058900041838,-0.9925133177458415,0.0,0.8181228535818924,0.5682109020916136,-0.08838193928205215,0.0,0.5622535856747614,-0.8226572545659512,-0.0842967787396755,0.0,-0.6989164352416992,0.47613900899887085,0.7167916893959045,1.0
20.0,-0.11948111493869656,0.020047156203970684,-0.9926340588057312,0.0,0.8218641809380949,0.5629147166769332,-0.08755735171579028,0.0,0.5570130440698497,-0.8262718277157111,-0.08373371757767485,0.0,-0.6616194248199463,0.4819783568382263,0.7159454226493835,1.0
21.0,-0.11790121866231913,0.021118535293762286,-0.9928007403829764,0.0,0.8270338595636038,0.5554728749234846,-0.08639953911664285,0.0,0.5496492497704965,-0.8312664390502512,-0.08295667263967123,0.0,-0.622557520866394,0.4899875223636627,0.7147164344787598,1.0
22.0,-0.11621626689116599,0.02223766308288604,-0.9929749572121612,0.0,0.8324334404377595,0.5475413834105753,-0.0851645506874106,0.0,0.5418010211792116,-0.8364830660530107,-0.08214458993578425,0.0,-0.577723503112793,0.49672040343284607,0.713356614112854,1.0
23.0,-0.11447644263207485,0.023369345873000012,-0.9931510548530738,0.0,0.837891603360919,0.5393517211202901,-0.08388910502472462,0.0,0.5336972972571378,-0.841756256049249,-0.08132404504436158,0.0,-0.5251109600067139,0.5007710456848145,0.7118991017341614,1.0
